time,FLOW
2015-05-03,0.0832
2015-05-04,0.0812
2015-05-05,0.0797
2015-05-06,0.0762
2015-05-07,0.0728
2015-05-08,0.0703
2015-05-09,0.0662
2015-05-10,0.0624
2015-05-11,0.0607
2015-05-12,0.058
2015-05-13,0.053
2015-05-14,0.0491
2015-05-15,0.0472
2015-05-16,0.0475
2015-05-17,0.0463
2015-05-18,0.0489
2015-05-19,0.0535
2015-05-20,0.0487
2015-05-21,0.0459
2015-05-22,0.0457
2015-05-23,0.0425
2015-05-24,0.041
2015-05-25,0.0391
2015-05-26,0.0377
2015-05-27,0.037
2015-05-28,0.0355
2015-05-29,0.0341
2015-05-30,0.0331
2015-05-31,0.0325
2015-06-01,0.0364
2015-06-02,0.0418
2015-06-03,0.0625
2015-06-04,0.0618
2015-06-05,0.0603
2015-06-06,0.0559
2015-06-07,0.05
2015-06-08,0.0549
2015-06-09,0.0719
2015-06-10,0.0634
2015-06-11,0.0575
2015-06-12,0.0519
2015-06-13,0.0493
2015-06-14,0.0478
2015-06-15,0.0457
2015-06-16,0.0426
2015-06-17,0.0412
2015-06-18,0.0543
2015-06-19,0.053
2015-06-20,0.048
2015-06-21,0.0459
2015-06-22,0.0419
2015-06-23,0.0389
2015-06-24,0.0339
2015-06-25,0.0296
2015-06-26,0.0293
2015-06-27,0.0342
2015-06-28,0.0335
2015-06-29,0.0286
2015-06-30,0.027
2015-07-01,0.0281
2015-07-02,0.0264
2015-07-03,0.026
2015-07-04,0.0278
2015-07-05,0.0261
2015-07-06,0.0449
2015-07-07,0.0449
2015-07-08,0.0409
2015-07-09,0.04
2015-07-10,0.0341
2015-07-11,0.0315
2015-07-12,0.0287
2015-07-13,0.0647
2015-07-14,0.0727
2015-07-15,0.0597
2015-07-16,0.049
2015-07-17,0.0431
2015-07-18,0.0422
2015-07-19,0.042
2015-07-20,0.0391
2015-07-21,0.0343
2015-07-22,0.0294
2015-07-23,0.026
2015-07-24,0.0245
2015-07-25,0.0232
2015-07-26,0.0219
2015-07-27,0.0207
2015-07-28,0.0215
2015-07-29,0.0296
2015-07-30,0.0248
2015-07-31,0.0228
2015-08-01,0.0203
2015-08-02,0.0183
2015-08-03,0.0168
2015-08-04,0.0155
2015-08-05,0.0147
2015-08-06,0.0135
2015-08-07,0.0135
2015-08-08,0.0131
2015-08-09,0.0122
2015-08-10,0.0113
2015-08-11,0.0277
2015-08-12,0.0233
2015-08-13,0.0217
2015-08-14,0.0205
2015-08-15,0.0193
2015-08-16,0.0185
2015-08-17,0.0174
2015-08-18,0.0161
2015-08-19,0.0164
2015-08-20,0.0159
2015-08-21,0.0147
2015-08-22,0.0131
2015-08-23,0.0123
2015-08-24,0.0117
2015-08-25,0.0099
2015-08-26,0.0109
2015-08-27,0.0119
2015-08-28,0.0112
2015-08-29,0.0105
2015-08-30,0.0099
2015-08-31,0.0097
2015-09-01,0.0094
2015-09-02,0.0089
2015-09-03,0.0082
2015-09-04,0.0121
2015-09-05,0.0166
2015-09-06,0.0158
2015-09-07,0.0146
2015-09-08,0.0138
2015-09-09,0.013
2015-09-10,0.0124
2015-09-11,0.012
2015-09-12,0.0107
2015-09-13,0.0096
2015-09-14,0.0076
2015-09-15,0.0063
2015-09-16,0.0056
2015-09-17,0.0053
2015-09-18,0.0048
2015-09-19,0.0044
2015-09-20,0.0039
2015-09-21,0.0144
2015-09-22,0.0253
2015-09-23,0.0218
2015-09-24,0.0202
2015-09-25,0.0187
